YEAR,SPECIES,QUALITY_CLASS,MATURITY_AGE
2010,spruce,2,80
2010,spruce,3,90
2010,spruce,4,90
2010,spruce,5,90
2010,spruce,5A,90
2010,birch,1A,60
2010,birch,1,60
2010,birch,2,70
2010,birch,3,70
2010,birch,4,70
2010,birch,5,70
2010,birch,5A,70
2010,aspen,1A,30
2010,aspen,1,40
2010,aspen,2,40
2010,aspen,3,50
2010,aspen,4,50
2010,black_alder,1A,60
2010,black_alder,1,60
2010,black_alder,2,60
2010,black_alder,3,60
2010,black_alder,4,60
2010,black_alder,5,60
2010,black_alder,5A,60
2010,hardwood,1A,90
2010,hardwood,1,90
2010,hardwood,2,100
2010,hardwood,3,110
2010,hardwood,4,120
2010,hardwood,5,130
2010,hardwood,5A,130
2011,pine,1A,90
2011,pine,1,90
2011,pine,2,90
2011,pine,3,100
2011,pine,4,110
2011,pine,5,120
2011,pine,5A,120
2011,spruce,1A,80
2011,spruce,1,80
2011,spruce,2,80
2011,spruce,3,90
2011,spruce,4,90
2011,spruce,5,90
2011,spruce,5A,90
2011,birch,1A,60
2011,birch,1,60
2011,birch,2,70
2011,birch,3,70
2011,birch,4,70
2011,birch,5,70
2011,birch,5A,70
2011,aspen,1A,30
2011,aspen,1,40
2011,aspen,2,40
2011,aspen,3,50
2011,aspen,4,50
2011,black_alder,1A,60
2011,black_alder,1,60
2011,black_alder,2,60
2011,black_alder,3,60
2011,black_alder,4,60
2011,black_alder,5,60
2011,black_alder,5A,60
2011,hardwood,1A,90
2011,hardwood,1,90
2011,hardwood,2,100
2011,hardwood,3,110
2011,hardwood,4,120
2011,hardwood,5,130
2011,hardwood,5A,130
2012,pine,1A,90
2012,pine,1,90
2012,pine,2,90
2012,pine,3,100
2012,pine,4,110
2012,pine,5,120
2012,pine,5A,120
2012,spruce,1A,80
2012,spruce,1,80
2012,spruce,2,80
2012,spruce,3,90
2012,spruce,4,90
2012,spruce,5,90
2012,spruce,5A,90
2012,birch,1A,60
2012,birch,1,60
2012,birch,2,70
2012,birch,3,70
2012,birch,4,70
2012,birch,5,70
2012,birch,5A,70
2012,aspen,1A,30
2012,aspen,1,40
2012,aspen,2,40
2012,aspen,3,50
2012,aspen,4,50
2012,black_alder,1A,60
2012,black_alder,1,60
2012,black_alder,2,60
2012,black_alder,3,60
2012,black_alder,4,60
2012,black_alder,5,60
2012,black_alder,5A,60
2012,hardwood,1A,90
2012,hardwood,1,90
2012,hardwood,2,100
2012,hardwood,3,110
2012,hardwood,4,120
2012,hardwood,5,130
2012,hardwood,5A,130
2013,pine,1A,90
2013,pine,1,90
2013,pine,2,90
2013,pine,3,100
2013,pine,4,110
2013,pine,5,120
2013,pine,5A,120
2013,spruce,1A,80
2013,spruce,1,80
2013,spruce,2,80
2013,spruce,3,90
2013,spruce,4,90
2013,spruce,5,90
2013,spruce,5A,90
2013,birch,1A,60
2013,birch,1,60
2013,birch,2,70
2013,birch,3,70
2013,birch,4,70
2013,birch,5,70
2013,birch,5A,70
2013,aspen,1A,30
2013,aspen,1,40
2013,aspen,2,40
2013,aspen,3,50
2013,aspen,4,50
2013,black_alder,1A,60
2013,black_alder,1,60
2013,black_alder,2,60
2013,black_alder,3,60
2013,black_alder,4,60
2013,black_alder,5,60
2013,black_alder,5A,60
2013,hardwood,1A,90
2013,hardwood,1,90
2013,hardwood,2,100
2013,hardwood,3,110
2013,hardwood,4,120
2013,hardwood,5,130
2013,hardwood,5A,130
2014,pine,1A,90
2014,pine,1,90
2014,pine,2,90
2014,pine,3,100
2014,pine,4,110
2014,pine,5,120
2014,pine,5A,120
2014,spruce,1A,80
2014,spruce,1,80
2014,spruce,2,80
2014,spruce,3,90
2014,spruce,4,90
2014,spruce,5,90
2014,spruce,5A,90
2014,birch,1A,60
2014,birch,1,60
2014,birch,2,70
2014,birch,3,70
2014,birch,4,70
2014,birch,5,70
2014,birch,5A,70
2014,aspen,1A,30
2014,aspen,1,40
2014,aspen,2,40
2014,aspen,3,50
2014,aspen,4,50
2014,black_alder,1A,60
2014,black_alder,1,60
2014,black_alder,2,60
2014,black_alder,3,60
2014,black_alder,4,60
2014,black_alder,5,60
2014,black_alder,5A,60
2014,hardwood,1A,90
2014,hardwood,1,90
2014,hardwood,2,100
2014,hardwood,3,110
2014,hardwood,4,120
2014,hardwood,5,130
2014,hardwood,5A,130
2015,pine,1A,90
2015,pine,1,90
2015,pine,2,90
2015,pine,3,100
2015,pine,4,110
2015,pine,5,120
2015,pine,5A,120
2015,spruce,1A,80
2015,spruce,1,80
2015,spruce,2,80
2015,spruce,3,90
2015,spruce,4,90
2015,spruce,5,90
2015,spruce,5A,90
2015,birch,1A,60
2015,birch,1,60
2015,birch,2,70
2015,birch,3,70
2015,birch,4,70
2015,birch,5,70
2015,birch,5A,70
2015,aspen,1A,30
2015,aspen,1,40
2015,aspen,2,40
2015,aspen,3,50
2015,aspen,4,50
2015,black_alder,1A,60
2015,black_alder,1,60
2015,black_alder,2,60
2015,black_alder,3,60
2015,black_alder,4,60
2015,black_alder,5,60
2015,black_alder,5A,60
2015,hardwood,1A,90
2015,hardwood,1,90
2015,hardwood,2,100
2015,hardwood,3,110
2015,hardwood,4,120
2015,hardwood,5,130
2015,hardwood,5A,130
2016,pine,1A,90
2016,pine,1,90
2016,pine,2,90
2016,pine,3,100
2016,pine,4,110
2016,pine,5,120
2016,pine,5A,120
2016,spruce,1A,80
2016,spruce,1,80
2016,spruce,2,80
2016,spruce,3,90
2016,spruce,4,90
2016,spruce,5,90
2016,spruce,5A,90
2016,birch,1A,60
2016,birch,1,60
2016,birch,2,70
2016,birch,3,70
2016,birch,4,70
2016,birch,5,70
2016,birch,5A,70
2016,aspen,1A,30
2016,aspen,1,40
2016,aspen,2,40
2016,aspen,3,50
2016,aspen,4,50
2016,black_alder,1A,60
2016,black_alder,1,60
2016,black_alder,2,60
2016,black_alder,3,60
2016,black_alder,4,60
2016,black_alder,5,60
2016,black_alder,5A,60
2016,hardwood,1A,90
2016,hardwood,1,90
2016,hardwood,2,100
2016,hardwood,3,110
2016,hardwood,4,120
2016,hardwood,5,130
2016,hardwood,5A,130
2017,pine,1A,90
2017,pine,1,90
2017,pine,2,90
2017,pine,3,100
2017,pine,4,110
2017,pine,5,120
2017,pine,5A,120
2017,spruce,1A,80
2017,spruce,1,80
2017,spruce,2,80
2017,spruce,3,90
2017,spruce,4,90
2017,spruce,5,90
2017,spruce,5A,90
2017,birch,1A,60
2017,birch,1,60
2017,birch,2,70
2017,birch,3,70
2017,birch,4,70
2017,birch,5,70
2017,birch,5A,70
2017,aspen,1A,30
2017,aspen,1,40
2017,aspen,2,40
2017,aspen,3,50
2017,aspen,4,50
2017,black_alder,1A,60
2017,black_alder,1,60
2017,black_alder,2,60
2017,black_alder,3,60
2017,black_alder,4,60
2017,black_alder,5,60
2017,black_alder,5A,60
2017,hardwood,1A,90
2017,hardwood,1,90
2017,hardwood,2,100
2017,hardwood,3,110
2017,hardwood,4,120
2017,hardwood,5,130
2017,hardwood,5A,130
2018,pine,1A,90
2018,pine,1,90
2018,pine,2,90
2018,pine,3,100
2018,pine,4,110
