YEAR,OWNER,TYPE,DOMINANT_SPECIES,QUALITY_CLASS,AREA,UNIT,RELATIVE_ERROR_PERCENT
2000,State Forest Management Centre,production,other,1A,1.121165852,kha,0.705655845
2000,State Forest Management Centre,production,other,2,2.463986193,kha,0.562388961
2000,State Forest Management Centre,production,other,3,0.661039386,kha,0.860641041
2000,State Forest Management Centre,production,other,4,,kha,0.0
2000,State Forest Management Centre,production,other,5,,kha,0.0
2000,State Forest Management Centre,production,other,5A-5B,,kha,0.0
2000,State Forest Management Centre,production,other,all,5.842563429,kha,0.403540954
2000,State Forest Management Centre,production,pine,1,41.318156962,kha,0.186487261
2000,State Forest Management Centre,production,pine,1A,9.8149101,kha,0.299675673
2000,State Forest Management Centre,production,pine,2,68.12652182,kha,0.131583893
2000,State Forest Management Centre,production,pine,3,63.147928796,kha,0.144795669
2000,State Forest Management Centre,production,pine,4,37.74836489,kha,0.178100236
2000,State Forest Management Centre,production,pine,5,24.45486956,kha,0.206311265
2000,State Forest Management Centre,production,pine,5A-5B,17.125864445,kha,0.249002293
2000,State Forest Management Centre,production,pine,all,261.736616572,kha,0.10027923
2000,State Forest Management Centre,production,spruce,1,56.176743763,kha,0.15331519
2000,State Forest Management Centre,production,spruce,1A,24.529539205,kha,0.181286915
2000,State Forest Management Centre,production,spruce,2,32.445362527,kha,0.149875572
2000,State Forest Management Centre,production,spruce,3,14.769285941,kha,0.219445373
2000,State Forest Management Centre,production,spruce,4,6.383525952,kha,0.356922861
2000,State Forest Management Centre,production,spruce,5,0.560582926,kha,0.999619951
2000,State Forest Management Centre,production,spruce,5A-5B,,kha,0.0
2000,State Forest Management Centre,production,spruce,all,134.865040315,kha,0.113518143
2000,State Forest Management Centre,protected,aspen,1,2.80291463,kha,0.661622091
2000,State Forest Management Centre,protected,aspen,1A,,kha,0.0
2000,State Forest Management Centre,protected,aspen,2,0.560582926,kha,0.998457947
2000,State Forest Management Centre,protected,aspen,3,,kha,0.0
2000,State Forest Management Centre,protected,aspen,4,,kha,0.0
2000,State Forest Management Centre,protected,aspen,5,,kha,0.0
2000,State Forest Management Centre,protected,aspen,5A-5B,,kha,0.0
2000,State Forest Management Centre,protected,aspen,all,3.363497555,kha,0.575273447
2000,State Forest Management Centre,protected,birch,1,2.445991481,kha,0.464301536
2000,State Forest Management Centre,protected,birch,1A,1.121165852,kha,0.706112677
2000,State Forest Management Centre,protected,birch,2,13.453990222,kha,0.463041822
2000,State Forest Management Centre,protected,birch,3,9.053750603,kha,0.453765955
2000,State Forest Management Centre,protected,birch,4,6.890405034,kha,0.334262374
2000,State Forest Management Centre,protected,birch,5,0.560582926,kha,0.99897456
2000,State Forest Management Centre,protected,birch,5A-5B,0.560582926,kha,0.999619951
2000,State Forest Management Centre,protected,birch,all,34.086469043,kha,0.337151055
2000,State Forest Management Centre,protected,black alder,1,1.121165852,kha,0.99897456
2000,State Forest Management Centre,protected,black alder,1A,,kha,0.0
2000,State Forest Management Centre,protected,black alder,2,1.121165852,kha,0.705655845
2000,State Forest Management Centre,protected,black alder,3,0.479915043,kha,0.706172541
2000,State Forest Management Centre,protected,black alder,4,0.560582926,kha,0.99897456
2000,State Forest Management Centre,protected,black alder,5,,kha,0.0
2000,State Forest Management Centre,protected,black alder,5A-5B,,kha,0.0
2000,State Forest Management Centre,protected,black alder,all,3.282829672,kha,0.461269259
2000,State Forest Management Centre,protected,grey alder,1,0.402554599,kha,0.99897456
2000,State Forest Management Centre,protected,grey alder,1A,,kha,0.0
2000,State Forest Management Centre,protected,grey alder,2,0.242900582,kha,0.999619951
2000,State Forest Management Centre,protected,grey alder,3,,kha,0.0
2000,State Forest Management Centre,protected,grey alder,4,,kha,0.0
2000,State Forest Management Centre,protected,grey alder,5,,kha,0.0
2000,State Forest Management Centre,protected,grey alder,5A-5B,,kha,0.0
2000,State Forest Management Centre,protected,grey alder,all,0.645455181,kha,0.727342323
2000,State Forest Management Centre,protected,pine,1,6.026939153,kha,0.485832116
2000,State Forest Management Centre,protected,pine,1A,0.560582926,kha,0.999619951
2000,State Forest Management Centre,protected,pine,2,13.034393902,kha,0.306413328
2000,State Forest Management Centre,protected,pine,3,16.041753124,kha,0.256912552
2000,State Forest Management Centre,protected,pine,4,16.332751721,kha,0.273951912
2000,State Forest Management Centre,protected,pine,5,10.958162919,kha,0.292780163
2000,State Forest Management Centre,protected,pine,5A-5B,10.154343062,kha,0.290059077
2000,State Forest Management Centre,protected,pine,all,73.108926807,kha,0.204575191
2000,State Forest Management Centre,protected,spruce,1,4.667861907,kha,0.46854988
2000,State Forest Management Centre,protected,spruce,1A,,kha,0.0
2000,State Forest Management Centre,protected,spruce,2,3.208328202,kha,0.562247276
2000,State Forest Management Centre,protected,spruce,3,4.5407217,kha,0.547628726
2000,State Forest Management Centre,protected,spruce,4,,kha,0.0
2000,State Forest Management Centre,protected,spruce,5,,kha,0.0
2000,State Forest Management Centre,protected,spruce,5A-5B,,kha,0.0
2000,State Forest Management Centre,protected,spruce,all,12.416911809,kha,0.324329724
2000,all,production,aspen,1,44.976521136,kha,0.12246441
2000,all,production,aspen,1A,20.646717627,kha,0.181697577
2000,all,production,aspen,2,32.299442792,kha,0.167552899
2000,all,production,aspen,3,6.99590674,kha,0.28592968
2000,all,production,aspen,4,,kha,0.0
2000,all,production,aspen,5,,kha,0.0
2000,all,production,aspen,5A-5B,,kha,0.0
2000,all,production,aspen,all,104.918588296,kha,0.092661256
2000,all,production,birch,1,127.609191272,kha,0.092170863
2000,all,production,birch,1A,35.291273867,kha,0.177446145
2000,all,production,birch,2,211.701282996,kha,0.074376767
2000,all,production,birch,3,159.966037755,kha,0.086024263
2000,all,production,birch,4,44.649308883,kha,0.154661612
2000,all,production,birch,5,8.911474657,kha,0.299667702
2000,all,production,birch,5A-5B,1.681748778,kha,0.574675217
2000,all,production,birch,all,589.810318206,kha,0.052504887
2000,all,production,black alder,1,8.667396851,kha,0.311803941
2000,all,production,black alder,1A,,kha,0.0
2000,all,production,black alder,2,34.501748874,kha,0.161568053
2000,all,production,black alder,3,8.087529872,kha,0.264413365
2000,all,production,black alder,4,1.572154816,kha,0.57754926
2000,all,production,black alder,5,,kha,0.0
2000,all,production,black alder,5A-5B,,kha,0.0
2000,all,production,black alder,all,52.828830413,kha,0.136240351
2000,all,production,grey alder,1,73.752251773,kha,0.122387617
2000,all,production,grey alder,1A,3.363497555,kha,0.404881347
2000,all,production,grey alder,2,79.707492369,kha,0.095068286
2000,all,production,grey alder,3,9.839575749,kha,0.270216596
2000,all,production,grey alder,4,,kha,0.0
2000,all,production,grey alder,5,,kha,0.0
2000,all,production,grey alder,5A-5B,,kha,0.0
2000,all,production,grey alder,all,166.662817446,kha,0.083315649
2000,all,production,other,1,5.288090857,kha,0.313631976
2000,all,production,other,1A,1.681748778,kha,0.575572328
2000,all,production,other,2,6.843035777,kha,0.302292813
2000,all,production,other,3,11.312114978,kha,0.262948745
2000,all,production,other,4,1.121165852,kha,0.705290169
2000,all,production,other,5,0.560582926,kha,0.998328752
2000,all,production,other,5A-5B,,kha,0.0
2000,all,production,other,all,26.806739167,kha,0.170623442
2000,all,production,pine,1,98.352032019,kha,0.112021264
