YEAR,AGE_GROUP,TYPE,AREA,UNIT
2008,11...20,production,129.60,kha
2008,...10,production,139.20,kha
2008,unknown,production,78.50,kha
2008,clearcut,production,63.60,kha
2008,141...,protected,10.80,kha
2008,131...140,protected,5.40,kha
2008,121...130,protected,5.70,kha
2008,111...120,protected,5.70,kha
2008,101...110,protected,8.60,kha
2008,91...100,protected,19.30,kha
2008,81...90,protected,15.60,kha
2008,71...80,protected,23.10,kha
2008,61...70,protected,28.30,kha
2008,51...60,protected,33.20,kha
2008,41...50,protected,26.00,kha
2008,31...40,protected,18.30,kha
2008,21...30,protected,9.10,kha
2008,11...20,protected,5.60,kha
2008,...10,protected,3.50,kha
2008,unknown,protected,2.80,kha
2008,clearcut,protected,1.60,kha
2009,141...,production,7.90,kha
2009,131...140,production,5.60,kha
2009,121...130,production,14.10,kha
2009,111...120,production,19.10,kha
2009,101...110,production,36.40,kha
2009,91...100,production,64.40,kha
2009,81...90,production,99.20,kha
2009,71...80,production,173.30,kha
2009,61...70,production,224.60,kha
2009,51...60,production,270.80,kha
2009,41...50,production,289.30,kha
2009,31...40,production,231.20,kha
2009,21...30,production,154.70,kha
2009,11...20,production,127.70,kha
2009,...10,production,135.70,kha
2009,unknown,production,79.60,kha
2009,clearcut,production,61.10,kha
2009,141...,protected,9.00,kha
2009,131...140,protected,5.20,kha
2009,121...130,protected,5.10,kha
2009,111...120,protected,6.20,kha
2009,101...110,protected,8.30,kha
2009,91...100,protected,20.40,kha
2009,81...90,protected,15.50,kha
2009,71...80,protected,25.20,kha
2009,61...70,protected,29.50,kha
2009,51...60,protected,31.20,kha
2009,41...50,protected,27.60,kha
2009,31...40,protected,16.30,kha
2009,21...30,protected,9.50,kha
2009,11...20,protected,5.00,kha
2009,...10,protected,3.30,kha
2009,unknown,protected,2.80,kha
2009,clearcut,protected,1.90,kha
2010,141...,production,8.20,kha
2010,131...140,production,5.40,kha
2010,121...130,production,15.30,kha
2010,111...120,production,18.20,kha
2010,101...110,production,37.60,kha
2010,91...100,production,70.10,kha
2010,81...90,production,101.00,kha
2010,71...80,production,169.90,kha
2010,61...70,production,223.00,kha
2010,51...60,production,264.80,kha
2010,41...50,production,298.90,kha
2010,31...40,production,228.20,kha
2010,21...30,production,158.60,kha
2010,11...20,production,134.90,kha
2010,...10,production,138.60,kha
2010,unknown,production,78.40,kha
2010,clearcut,production,58.50,kha
2010,141...,protected,8.60,kha
2010,131...140,protected,4.90,kha
2010,121...130,protected,5.00,kha
2010,111...120,protected,6.60,kha
2010,101...110,protected,8.40,kha
2010,91...100,protected,19.90,kha
2010,81...90,protected,13.90,kha
2010,71...80,protected,25.80,kha
2010,61...70,protected,29.40,kha
2010,51...60,protected,29.30,kha
2010,41...50,protected,26.10,kha
2010,31...40,protected,14.20,kha
2010,21...30,protected,7.50,kha
2010,11...20,protected,5.60,kha
2010,...10,protected,3.00,kha
2010,unknown,protected,2.70,kha
2010,clearcut,protected,1.30,kha
2011,141...,production,8.60,kha
2011,131...140,production,6.30,kha
2011,121...130,production,14.20,kha
2011,111...120,production,15.10,kha
2011,101...110,production,35.30,kha
2011,91...100,production,66.30,kha
2011,81...90,production,100.80,kha
2011,71...80,production,170.30,kha
2011,61...70,production,238.10,kha
2011,51...60,production,258.30,kha
2011,41...50,production,295.30,kha
2011,31...40,production,220.50,kha
2011,21...30,production,154.40,kha
2011,11...20,production,140.50,kha
2011,...10,production,142.70,kha
2011,unknown,production,82.80,kha
2011,clearcut,production,57.90,kha
2011,141...,protected,8.60,kha
2011,131...140,protected,4.50,kha
2011,121...130,protected,5.80,kha
2011,111...120,protected,6.70,kha
2011,101...110,protected,8.80,kha
