YEAR,DOMINANT_SPECIES,AGE_GROUP,TYPE,AREA,UNIT
2000,pine,31...40,protected,4.2,kha
2000,pine,41...50,protected,10.7,kha
2000,pine,51...60,protected,5.6,kha
2000,pine,61...70,protected,17.5,kha
2000,pine,71...80,protected,11.7,kha
2000,pine,81...90,protected,12.7,kha
2000,pine,91...100,protected,6.7,kha
2000,pine,clearcut,protected,1.1,kha
2000,pine,unknown,protected,1.3,kha
2000,spruce,...10,production,4.5,kha
2000,spruce,101...110,production,7.4,kha
2000,spruce,11...20,production,26.0,kha
2000,spruce,111...120,production,5.6,kha
2000,spruce,121...130,production,0.6,kha
2000,spruce,131...140,production,0.6,kha
2000,spruce,141...,production,0.0,kha
2000,spruce,21...30,production,36.5,kha
2000,spruce,31...40,production,39.5,kha
2000,spruce,41...50,production,32.3,kha
2000,spruce,51...60,production,47.9,kha
2000,spruce,61...70,production,51.0,kha
2000,spruce,71...80,production,44.8,kha
2000,spruce,81...90,production,28.9,kha
2000,spruce,91...100,production,18.5,kha
2000,spruce,clearcut,production,20.4,kha
2000,spruce,unknown,production,26.0,kha
2000,spruce,...10,protected,0.3,kha
2000,spruce,101...110,protected,1.1,kha
2000,spruce,11...20,protected,0.9,kha
2000,spruce,111...120,protected,2.0,kha
2000,spruce,121...130,protected,0.0,kha
2000,spruce,131...140,protected,0.0,kha
2000,spruce,141...,protected,0.6,kha
2000,spruce,21...30,protected,2.8,kha
2000,spruce,31...40,protected,2.5,kha
2000,spruce,41...50,protected,1.3,kha
2000,spruce,51...60,protected,1.1,kha
2000,spruce,61...70,protected,2.3,kha
2000,spruce,71...80,protected,1.7,kha
2000,spruce,81...90,protected,2.3,kha
2000,spruce,91...100,protected,0.6,kha
2000,spruce,clearcut,protected,0.0,kha
2000,spruce,unknown,protected,1.1,kha
2001,all,...10,production,82.7,kha
2001,all,101...110,production,23.6,kha
2001,all,11...20,production,129.9,kha
2001,all,111...120,production,22.5,kha
2001,all,121...130,production,3.9,kha
2001,all,131...140,production,1.9,kha
2001,all,141...,production,7.2,kha
2001,all,21...30,production,179.3,kha
2001,all,31...40,production,285.8,kha
2001,all,41...50,production,317.1,kha
2001,all,51...60,production,294.8,kha
2001,all,61...70,production,217.2,kha
2001,all,71...80,production,164.7,kha
2001,all,81...90,production,100.7,kha
2001,all,91...100,production,61.5,kha
2001,all,clearcut,production,63.8,kha
2001,all,unknown,production,89.9,kha
2001,all,...10,protected,5.8,kha
2001,all,101...110,protected,7.0,kha
2001,all,11...20,protected,5.7,kha
2001,all,111...120,protected,9.7,kha
2001,all,121...130,protected,3.7,kha
2001,all,131...140,protected,3.9,kha
2001,all,141...,protected,7.8,kha
2001,all,21...30,protected,12.4,kha
2001,all,31...40,protected,15.6,kha
2001,all,41...50,protected,22.7,kha
2001,all,51...60,protected,20.1,kha
2001,all,61...70,protected,28.1,kha
2001,all,71...80,protected,17.9,kha
2001,all,81...90,protected,13.0,kha
2001,all,91...100,protected,8.9,kha
2001,all,clearcut,protected,2.1,kha
2001,all,unknown,protected,4.6,kha
2001,aspen,...10,production,8.7,kha
2001,aspen,101...110,production,0.0,kha
2001,aspen,11...20,production,3.9,kha
2001,aspen,111...120,production,0.4,kha
2001,aspen,121...130,production,0.0,kha
2001,aspen,131...140,production,0.0,kha
2001,aspen,141...,production,0.0,kha
2001,aspen,21...30,production,5.7,kha
2001,aspen,31...40,production,12.0,kha
2001,aspen,41...50,production,26.8,kha
2001,aspen,51...60,production,24.1,kha
2001,aspen,61...70,production,11.1,kha
2001,aspen,71...80,production,7.5,kha
2001,aspen,81...90,production,2.8,kha
2001,aspen,91...100,production,0.4,kha
2001,aspen,clearcut,production,0.8,kha
2001,aspen,unknown,production,9.4,kha
2001,aspen,...10,protected,0.4,kha
2001,aspen,101...110,protected,0.0,kha
2001,aspen,11...20,protected,0.0,kha
2001,aspen,111...120,protected,0.0,kha
2001,aspen,121...130,protected,0.0,kha
2001,aspen,131...140,protected,0.0,kha
2001,aspen,141...,protected,0.0,kha
2001,aspen,21...30,protected,0.0,kha
2001,aspen,31...40,protected,0.0,kha
2001,aspen,41...50,protected,0.4,kha
2001,aspen,51...60,protected,3.4,kha
2001,aspen,61...70,protected,2.2,kha
2001,aspen,71...80,protected,0.9,kha
2001,aspen,81...90,protected,0.0,kha
2001,aspen,91...100,protected,0.3,kha
2001,aspen,clearcut,protected,0.4,kha
2001,aspen,unknown,protected,0.0,kha
2001,birch,...10,production,41.1,kha
2001,birch,101...110,production,0.4,kha
2001,birch,11...20,production,46.6,kha
2001,birch,111...120,production,0.0,kha
2001,birch,121...130,production,0.0,kha
2001,birch,131...140,production,0.0,kha
2001,birch,141...,production,0.0,kha
2001,birch,21...30,production,52.3,kha
2001,birch,31...40,production,108.2,kha
2001,birch,41...50,production,130.9,kha
2001,birch,51...60,production,114.5,kha
2001,birch,61...70,production,65.4,kha
2001,birch,71...80,production,28.5,kha
2001,birch,81...90,production,10.9,kha
2001,birch,91...100,production,3.0,kha
2001,birch,clearcut,production,22.8,kha
2001,birch,unknown,production,19.7,kha
2001,birch,...10,protected,4.4,kha
2001,birch,101...110,protected,0.8,kha
2001,birch,11...20,protected,1.5,kha
2001,birch,111...120,protected,0.0,kha
2001,birch,121...130,protected,0.0,kha
2001,birch,131...140,protected,0.0,kha
2001,birch,141...,protected,0.0,kha
2001,birch,21...30,protected,1.1,kha
2001,birch,31...40,protected,6.5,kha
2001,birch,41...50,protected,7.0,kha
2001,birch,51...60,protected,8.1,kha
2001,birch,61...70,protected,7.4,kha
2001,birch,71...80,protected,3.0,kha
2001,birch,81...90,protected,0.7,kha
2001,birch,91...100,protected,1.1,kha
2001,birch,clearcut,protected,0.4,kha
2001,birch,unknown,protected,2.2,kha
2001,black alder,...10,production,0.6,kha
2001,black alder,101...110,production,0.4,kha
2001,black alder,11...20,production,2.7,kha
2001,black alder,111...120,production,0.4,kha
2001,black alder,121...130,production,0.0,kha
2001,black alder,131...140,production,0.0,kha
2001,black alder,141...,production,0.0,kha
2001,black alder,21...30,production,3.6,kha
2001,black alder,31...40,production,11.5,kha
2001,black alder,41...50,production,14.7,kha
2001,black alder,51...60,production,13.4,kha
2001,black alder,61...70,production,5.0,kha
2001,black alder,71...80,production,2.6,kha
2001,black alder,81...90,production,1.5,kha
2001,black alder,91...100,production,0.7,kha
2001,black alder,clearcut,production,1.5,kha
2001,black alder,unknown,production,1.5,kha
2001,black alder,...10,protected,0.2,kha
2001,black alder,101...110,protected,0.0,kha
2001,black alder,11...20,protected,0.9,kha
2001,black alder,111...120,protected,0.0,kha
2001,black alder,121...130,protected,0.0,kha
2001,black alder,131...140,protected,0.0,kha
2001,black alder,141...,protected,0.0,kha
2001,black alder,21...30,protected,0.4,kha
2001,black alder,31...40,protected,0.4,kha
2001,black alder,41...50,protected,0.7,kha
2001,black alder,51...60,protected,1.1,kha
2001,black alder,61...70,protected,0.4,kha
2001,black alder,71...80,protected,0.7,kha
2001,black alder,81...90,protected,0.4,kha
2001,black alder,91...100,protected,0.0,kha
2001,black alder,clearcut,protected,0.0,kha
2001,black alder,unknown,protected,0.4,kha
2001,grey alder,...10,production,18.5,kha
2001,grey alder,101...110,production,0.0,kha
2001,grey alder,11...20,production,23.6,kha
2001,grey alder,111...120,production,0.0,kha
2001,grey alder,121...130,production,0.0,kha
2001,grey alder,131...140,production,0.0,kha
2001,grey alder,141...,production,0.0,kha
2001,grey alder,21...30,production,44.4,kha
2001,grey alder,31...40,production,55.3,kha
2001,grey alder,41...50,production,24.5,kha
2001,grey alder,51...60,production,4.3,kha
2001,grey alder,61...70,production,0.0,kha
2001,grey alder,71...80,production,0.0,kha
2001,grey alder,81...90,production,0.0,kha
2001,grey alder,91...100,production,0.0,kha
2001,grey alder,clearcut,production,2.3,kha
2001,grey alder,unknown,production,10.0,kha
2001,grey alder,...10,protected,0.0,kha
2001,grey alder,101...110,protected,0.0,kha
