Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,6
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,5
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,7
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,7
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,3
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,3
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,2
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,2
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,6
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,6
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,6
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,8
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,8
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,7
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,9
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;1,0
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,9
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,8
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,8
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,9
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,9
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,8
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,9
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;0,6
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;1,5
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;1,4
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;1,1
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;1,3
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;1,7
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;1,2
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;1,2
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;1,6
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;1,9
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;2,3
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;2,7
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;2,9
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;2,9
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;2,7
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;2,2
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;1,7
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;1,6
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;1,6
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;1,4
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;1,6
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;2,2
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;2,3
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;2,7
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;2,7
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;1,0
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;1,7
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;2,6
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;2,5
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;3,5
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;3,5
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;4,1
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;3,6
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;5,5
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;5,3
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;5,0
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;4,3
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;4,6
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;3,7
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;3,1
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;3,8
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;4,3
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;4,6
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;4,6
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;6,1
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;6,1
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;6,0
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;5,5
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;4,9
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;4,7
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;4,4
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;2,4
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;5,7
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;5,0
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;5,1
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;4,7
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;5,1
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;4,7
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;5,2
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;6,3
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;8,3
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;8,6
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;9,1
