Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;40,5
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;41,3
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;42,9
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;42,6
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;43,0
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;42,6
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;43,4
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;40,6
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;37,9
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;37,6
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;40,5
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;40,2
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;39,0
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;40,2
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;41,3
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;41,3
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;43,3
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;42,6
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;63,2
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;65,4
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;63,0
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;62,3
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;61,7
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;56,4
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;49,7
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;50,4
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;53,1
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;61,8
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;63,4
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;75,9
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;80,5
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;77,2
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;71,4
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;72,2
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;70,4
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;66,3
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;69,2
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;71,2
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;68,7
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;65,0
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;68,3
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;69,5
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;68,3
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;114,6
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;111,7
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;114,5
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;113,3
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;114,4
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;114,9
