Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;0,2
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;0,2
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;0,2
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;0,2
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;0,2
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;0,5
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;0,5
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;0,5
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;0,5
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;0,5
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;0,2
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;0,2
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;0,4
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;0,4
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;0,4
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;0,4
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;0,6
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;0,6
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;0,6
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;0,7
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;0,7
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;0,6
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;0,6
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;0,8
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;0,8
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;0,6
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;1,1
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;0,6
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;0,4
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;0,3
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;0,2
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;0,2
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;0,2
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;0,5
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;0,5
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;0,7
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;1,2
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;1,1
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;0,9
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;0,9
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;1,1
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;0,7
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;1,0
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;0,9
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;1,3
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;1,1
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;1,6
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;1,4
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;1,8
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;1,4
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;1,3
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;1,4
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;5,7
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;2,8
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;2,8
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;2,1
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;2,5
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;2,1
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;2,7
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;2,4
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;2,6
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;2,2
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;2,8
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;2,2
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;2,3
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;2,3
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;2,5
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;2,7
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;2,7
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;3,3
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;4,2
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;4,1
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;3,9
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;5,0
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;4,3
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;3,6
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;3,1
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;2,9
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;8,0
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;7,1
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;7,5
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;7,3
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;6,7
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;6,6
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;6,8
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;6,6
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;6,7
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;7,4
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;7,1
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;6,5
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;6,4
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;7,2
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;7,3
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;7,4
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;7,9
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;8,6
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;8,1
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;8,0
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;7,7
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;8,8
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;8,1
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;7,4
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;7,4
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;7,5
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;12,7
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;11,9
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;11,1
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;11,9
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;12,0
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;12,8
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;13,6
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;14,9
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;14,1
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;13,9
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;12,4
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;11,6
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;12,2
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;13,1
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;14,1
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;16,3
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;16,9
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;15,5
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;15,2
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;15,1
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;13,0
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;14,0
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;12,2
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;11,7
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;13,2
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;13,2
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;51...60;21,4
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;51...60;24,4
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;51...60;24,1
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;51...60;25,1
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;51...60;24,4
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;51...60;25,5
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;51...60;24,8
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;51...60;23,9
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;51...60;23,1
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;51...60;23,4
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;51...60;21,3
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;51...60;22,9
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;51...60;23,7
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;51...60;21,4
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;51...60;19,7
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;51...60;16,9
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;51...60;15,1
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;51...60;15,1
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;51...60;15,9
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;51...60;17,4
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;51...60;19,0
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;51...60;16,9
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;51...60;16,0
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;51...60;14,8
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;51...60;12,5
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;51...60;12,6
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;41...50;25,8
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;41...50;27,1
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;41...50;26,8
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;41...50;27,2
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;41...50;26,6
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;41...50;23,4
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;41...50;21,0
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;41...50;20,0
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;41...50;17,4
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;41...50;16,3
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;41...50;17,9
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;41...50;17,5
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;41...50;18,0
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;41...50;17,4
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;41...50;16,7
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;41...50;14,4
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;41...50;13,1
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;41...50;12,3
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;41...50;12,4
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;41...50;10,7
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;41...50;11,3
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;41...50;10,2
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;41...50;8,0
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;41...50;6,8
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;41...50;7,2
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;41...50;5,3
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;31...40;14,3
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;31...40;9,8
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;31...40;12,0
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;31...40;12,6
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;31...40;13,1
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;31...40;12,0
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;31...40;12,4
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;31...40;11,0
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;31...40;10,2
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;31...40;8,9
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;31...40;8,4
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;31...40;7,6
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;31...40;6,4
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;31...40;4,8
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;31...40;3,4
