Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;4,4
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;4,6
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;4,4
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;4,2
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;3,3
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;2,5
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;2,5
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;2,9
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;3,1
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;4,8
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;5,4
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;6,0
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;6,0
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;6,8
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;7,0
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;7,1
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;7,3
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;7,4
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;6,8
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;10,3
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;8,5
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;8,0
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;8,7
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;8,4
