Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;0,6
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;0,4
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;0,6
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;1,0
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;1,2
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;1,7
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;1,7
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;1,3
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;1,5
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;1,0
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;0,6
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;1,0
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;1,6
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;1,2
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;1,6
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;2,0
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;2,0
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;1,9
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;2,0
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;2,4
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;2,3
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;1,1
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;0,7
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;1,1
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;1,5
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;1,1
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;1,3
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;1,5
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;1,0
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;0,8
