Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;0,1
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;0,1
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;0,2
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;0,2
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;0,3
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;0,3
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;0,3
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;0,5
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;0,4
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;0,7
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;0,7
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;0,7
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;0,7
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;0,9
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;0,9
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;1,1
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;1,3
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;1,5
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;1,5
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;1,7
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;1,5
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;1,9
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;2,3
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;2,9
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;3,4
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;4,2
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;3,9
