Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;112,7
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;112,8
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;113,4
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;111,5
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;112,6
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;113,6
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;114,8
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;114,7
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;114,9
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;115,7
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;117,4
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;118,2
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;126,3
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;128,1
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;131,8
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;135,0
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;136,8
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;134,5
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;135,3
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;135,7
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;136,4
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;133,0
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;138,4
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;161,9
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;184,2
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;182,6
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;184,6
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;190,9
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;199,5
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;201,7
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;204,1
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;208,2
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;202,1
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;198,5
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;195,7
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;199,6
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;199,4
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;201,2
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;205,9
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;204,2
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;200,9
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;203,5
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;206,1
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;205,9
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;206,6
