Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;111...120;1,1
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;111...120;1,4
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;111...120;0,8
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;111...120;0,6
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;0,4
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;0,3
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;0,2
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;0,4
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;0,4
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;0,2
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;0,6
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;1,0
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;1,2
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;1,7
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;1,7
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;1,3
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;1,0
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;0,6
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;0,2
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;0,7
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;1,3
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;1,2
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;1,2
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;1,4
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;1,4
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;0,9
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;0,9
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;1,1
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;1,1
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;0,6
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;0,4
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;0,6
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;1,1
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;0,9
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;1,1
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;1,3
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;1,0
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;0,6
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;0,6
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;0,4
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;0,6
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;0,6
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;0,4
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;0,6
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;1,3
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;1,0
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;2,0
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;2,0
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;2,0
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;2,2
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;2,2
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;1,4
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;1,6
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;1,4
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;0,7
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;0,6
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;1,1
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;1,3
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;1,7
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;1,7
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;2,1
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;1,7
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;1,6
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;2,3
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;1,9
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;2,1
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;1,9
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;2,1
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;1,3
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;1,6
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;1,3
