Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,4
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,9
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;1,0
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;1,1
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;1,1
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;1,3
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;1,3
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;1,1
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;1,1
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;1,2
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;1,4
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;1,7
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;1,2
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;0,9
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;0,9
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;0,9
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;1,1
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;2,1
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;2,3
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;2,1
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;2,3
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;2,3
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;1,9
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;1,7
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;2,1
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;1,9
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;2,1
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;1,9
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;2,1
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;1,8
