Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;0,2
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;0,2
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;0,2
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;0,2
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;0,2
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;0,2
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;0,2
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;0,2
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;0,2
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;0,2
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;0,1
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;0,1
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;0,1
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;0,1
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;0,2
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;0,2
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;0,3
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;0,3
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;0,3
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;0,5
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;0,6
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;0,9
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;0,9
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;0,9
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;0,9
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;0,9
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;0,9
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;1,1
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;1,3
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;1,5
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;1,5
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;1,7
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;1,5
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;1,9
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;2,3
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;3,1
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;3,7
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;5,0
