Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;25,5
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;26,3
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;28,0
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;26,4
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;27,4
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;25,5
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;25,4
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;22,3
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;23,2
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;21,5
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;21,8
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;19,0
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;19,2
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;17,7
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;19,6
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;21,3
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;22,9
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;20,6
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;19,3
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;17,0
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;14,8
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;14,2
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;15,2
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;35,4
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;44,8
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;44,5
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;42,8
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;44,0
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;43,5
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;41,2
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;41,2
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;42,6
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;40,5
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;40,1
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;39,7
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;40,0
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;37,6
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;36,1
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;38,3
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;34,7
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;32,7
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;33,1
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;35,8
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;32,0
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;32,2
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;29,7
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;26,4
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;22,7
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;71...80;21,9
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;61...70;53,2
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;61...70;51,0
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;61...70;55,3
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;61...70;55,5
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;61...70;52,6
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;61...70;48,4
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;61...70;47,4
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;61...70;43,1
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;61...70;39,6
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;61...70;40,7
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;61...70;39,7
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;61...70;40,4
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;61...70;41,3
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;61...70;43,6
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;61...70;42,9
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;61...70;42,6
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;61...70;40,8
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;61...70;39,9
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;61...70;35,9
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;61...70;33,8
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;61...70;32,9
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;61...70;30,4
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;61...70;27,5
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;61...70;26,9
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;61...70;25,8
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;61...70;24,3
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;51...60;45,5
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;51...60;47,9
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;51...60;48,2
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;51...60;50,4
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;51...60;52,7
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;51...60;51,9
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;51...60;51,2
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;51...60;49,4
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;51...60;45,5
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;51...60;40,1
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;51...60;37,2
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;51...60;32,7
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;51...60;32,3
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;51...60;30,9
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;51...60;31,1
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;51...60;32,9
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;51...60;34,4
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;51...60;35,1
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;51...60;34,2
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;51...60;34,3
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;51...60;34,2
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;51...60;35,7
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;51...60;31,8
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;51...60;32,1
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;51...60;32,7
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;51...60;34,0
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;41...50;31,7
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;41...50;32,3
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;41...50;36,3
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;41...50;35,2
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;41...50;33,3
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;41...50;34,1
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;41...50;34,3
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;41...50;33,3
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;41...50;33,9
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;41...50;39,2
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;41...50;43,5
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;41...50;50,1
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;41...50;52,7
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;41...50;52,5
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;41...50;52,3
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;41...50;54,7
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;41...50;54,9
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;41...50;53,4
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;41...50;55,2
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;41...50;55,4
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;41...50;54,2
