Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;1,4
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;1,4
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;2,0
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;1,9
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;2,2
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;2,1
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;2,5
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;2,9
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;2,6
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;3,2
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;5,7
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;2,8
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;2,8
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;2,1
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;2,5
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;2,1
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;2,7
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;2,4
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;2,8
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;2,6
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;3,2
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;2,6
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;2,9
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;2,7
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;2,9
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;3,2
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;3,3
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;3,8
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;5,0
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;4,8
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;4,6
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;6,0
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;5,8
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;5,1
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;6,3
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;6,9
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;9,1
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;7,7
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;8,4
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;7,9
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;7,2
