Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;2,0
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;1,7
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;1,6
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;1,6
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;1,2
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;1,6
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;1,9
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;2,2
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;0,6
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;1,9
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;1,7
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;1,5
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;1,7
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;2,3
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;1,7
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;1,6
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;1,9
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;2,5
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;2,9
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;3,5
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;4,0
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;4,1
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;3,9
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;3,1
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;2,6
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;2,5
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;2,3
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;2,2
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;2,3
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;3,3
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;4,2
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;4,9
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;81...90;5,6
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;2,1
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;2,8
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;3,3
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;3,0
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;4,2
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;4,1
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;4,6
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;4,3
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;6,3
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;5,9
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;5,6
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;5,0
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;5,0
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;4,1
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;3,9
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;5,5
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;6,1
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;7,0
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;7,3
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;8,0
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;7,9
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;7,8
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;7,0
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;6,2
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;6,8
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;71...80;6,9
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;3,6
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;6,2
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;5,4
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;5,7
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;5,3
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;6,9
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;6,6
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;7,0
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;8,2
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;10,0
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;9,4
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;10,0
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;10,6
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;9,3
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;9,3
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;9,3
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;10,1
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;9,5
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;9,9
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;9,3
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;9,3
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;8,1
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;8,4
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;9,1
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;10,2
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;10,4
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;11,1
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;12,7
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;14,5
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;13,8
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;14,4
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;14,0
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;13,8
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;12,5
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;11,4
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;11,5
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;12,1
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;11,3
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;12,6
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;14,1
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;14,9
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;13,7
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;14,1
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;13,9
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;14,8
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;13,6
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;14,1
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;13,6
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;13,5
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;12,6
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;12,4
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;12,3
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;15,0
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;16,6
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;15,4
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;13,9
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;15,6
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;17,0
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;14,8
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;13,9
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;15,0
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;14,6
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;13,5
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;14,1
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;15,0
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;15,0
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;13,4
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;11,9
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;11,6
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;11,4
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;11,9
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;12,3
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;11,6
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;12,2
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;12,2
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;11,6
