Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;6,5
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;6,1
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;5,9
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;5,6
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;6,9
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;7,7
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;7,7
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;7,2
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;7,4
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;6,6
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;6,2
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;5,0
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;4,5
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;4,9
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;5,7
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;27.02.2025 13:21:59;11,5
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;27.02.2025 13:21:59;18,5
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;27.02.2025 13:21:59;15,1
