Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;0,4
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;0,6
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;0,7
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;0,8
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;0,8
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;0,9
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;1,0
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;0,9
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;1,4
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;1,6
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;1,7
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;1,1
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;1,1
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;0,7
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;0,6
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;0,4
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;0,4
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;0,2
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;0,5
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;0,5
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;0,7
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;1,2
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;1,1
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;0,9
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;0,9
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;1,1
