Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;7,5
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;7,3
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;8,4
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;8,9
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;10,8
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;12,8
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;14,3
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;14,1
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;16,6
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;15,8
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;16,7
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;16,6
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;17,0
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;15,3
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;15,2
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;12,2
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;10,6
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;12,7
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;13,6
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;16,4
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;16,9
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;18,1
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;18,0
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;17,6
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;27.02.2025 13:21:59;19,4
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;27.02.2025 13:21:59;25,1
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;27.02.2025 13:21:59;24,5
