Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;27.02.2025 13:21:59;0,3
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;27.02.2025 13:21:59;0,2
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;27.02.2025 13:21:59;0,2
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;27.02.2025 13:21:59;0,2
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;27.02.2025 13:21:59;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;27.02.2025 13:21:59;
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;27.02.2025 13:21:59;0,7
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;27.02.2025 13:21:59;0,6
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;27.02.2025 13:21:59;0,5
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;27.02.2025 13:21:59;0,7
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;27.02.2025 13:21:59;0,7
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;27.02.2025 13:21:59;0,3
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;27.02.2025 13:21:59;0,3
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;27.02.2025 13:21:59;0,2
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;27.02.2025 13:21:59;0,2
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;27.02.2025 13:21:59;0,6
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;27.02.2025 13:21:59;0,6
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;27.02.2025 13:21:59;0,6
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;27.02.2025 13:21:59;0,8
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;27.02.2025 13:21:59;0,8
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;27.02.2025 13:21:59;0,7
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;27.02.2025 13:21:59;0,9
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;27.02.2025 13:21:59;1,0
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;27.02.2025 13:21:59;0,9
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;27.02.2025 13:21:59;0,8
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;27.02.2025 13:21:59;0,8
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;27.02.2025 13:21:59;0,9
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;27.02.2025 13:21:59;0,9
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;27.02.2025 13:21:59;0,8
