Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;27.02.2025 13:21:59;3,6
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;27.02.2025 13:21:59;3,1
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;27.02.2025 13:21:59;8,0
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;27.02.2025 13:21:59;7,1
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;27.02.2025 13:21:59;7,5
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;27.02.2025 13:21:59;7,3
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;27.02.2025 13:21:59;6,7
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;27.02.2025 13:21:59;6,6
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;27.02.2025 13:21:59;6,8
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;27.02.2025 13:21:59;6,6
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;27.02.2025 13:21:59;6,7
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;27.02.2025 13:21:59;7,4
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;27.02.2025 13:21:59;7,1
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;27.02.2025 13:21:59;6,5
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;27.02.2025 13:21:59;6,4
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;27.02.2025 13:21:59;7,2
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;27.02.2025 13:21:59;7,3
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;27.02.2025 13:21:59;7,4
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;27.02.2025 13:21:59;7,9
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;27.02.2025 13:21:59;8,6
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;27.02.2025 13:21:59;8,1
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;27.02.2025 13:21:59;8,0
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;27.02.2025 13:21:59;7,7
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;27.02.2025 13:21:59;8,8
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;27.02.2025 13:21:59;8,1
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;27.02.2025 13:21:59;7,4
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;71...80;27.02.2025 13:21:59;7,4
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;27.02.2025 13:21:59;12,7
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;27.02.2025 13:21:59;11,9
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;27.02.2025 13:21:59;11,1
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;27.02.2025 13:21:59;11,9
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;27.02.2025 13:21:59;12,0
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;27.02.2025 13:21:59;12,8
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;27.02.2025 13:21:59;13,6
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;27.02.2025 13:21:59;14,9
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;27.02.2025 13:21:59;14,1
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;61...70;27.02.2025 13:21:59;13,9
