Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;27.02.2025 13:21:59;1,6
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;27.02.2025 13:21:59;1,9
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;27.02.2025 13:21:59;2,0
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;27.02.2025 13:21:59;1,9
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;27.02.2025 13:21:59;2,4
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;1,1
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;2,8
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;3,0
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;2,9
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;2,7
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;2,8
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;2,8
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;2,9
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;3,9
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;4,2
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;5,0
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;6,4
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;7,3
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;6,5
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;7,0
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;6,8
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;5,8
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;5,1
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;5,5
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;5,7
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;6,3
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;6,0
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;6,3
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;6,3
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;6,7
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;4,6
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;10,4
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;10,9
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;11,0
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;11,3
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;12,2
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;11,8
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;11,6
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;12,1
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;12,1
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;12,6
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;12,8
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;14,0
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;13,1
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;13,3
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;13,1
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;15,0
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;15,1
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;15,3
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;17,4
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;19,7
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;20,4
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;18,1
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;16,7
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;16,0
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;27.02.2025 13:21:59;24,3
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;27.02.2025 13:21:59;26,3
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;27.02.2025 13:21:59;28,5
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;27.02.2025 13:21:59;31,3
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;27.02.2025 13:21:59;33,8
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;27.02.2025 13:21:59;35,4
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;27.02.2025 13:21:59;39,9
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;27.02.2025 13:21:59;42,3
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;27.02.2025 13:21:59;41,2
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;27.02.2025 13:21:59;40,5
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;27.02.2025 13:21:59;41,3
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;27.02.2025 13:21:59;42,9
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;27.02.2025 13:21:59;42,6
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;27.02.2025 13:21:59;43,0
