Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;27.02.2025 13:21:59;3,2
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;27.02.2025 13:21:59;3,0
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;27.02.2025 13:21:59;3,6
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;27.02.2025 13:21:59;3,0
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;27.02.2025 13:21:59;3,2
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;27.02.2025 13:21:59;3,4
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;27.02.2025 13:21:59;3,0
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;27.02.2025 13:21:59;2,0
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;27.02.2025 13:21:59;1,9
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;27.02.2025 13:21:59;1,5
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;27.02.2025 13:21:59;1,4
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;27.02.2025 13:21:59;1,5
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;27.02.2025 13:21:59;1,6
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;27.02.2025 13:21:59;1,9
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;27.02.2025 13:21:59;1,7
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;27.02.2025 13:21:59;1,4
