Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;27.02.2025 13:21:59;244,1
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;27.02.2025 13:21:59;254,1
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;27.02.2025 13:21:59;252,4
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;27.02.2025 13:21:59;270,7
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;27.02.2025 13:21:59;283,3
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;27.02.2025 13:21:59;288,0
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;27.02.2025 13:21:59;278,3
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;27.02.2025 13:21:59;278,2
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;27.02.2025 13:21:59;273,7
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;27.02.2025 13:21:59;264,1
