Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;21,1
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;28,8
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;25,7
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;23,6
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;27,4
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;28,6
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;30,2
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;32,7
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;37,9
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;38,0
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;37,9
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;36,4
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;37,6
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;35,3
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;33,6
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;33,3
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;37,6
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;35,4
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;35,6
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;35,2
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;35,4
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;33,8
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;33,8
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;29,9
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;28,0
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;30,1
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;44,8
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;65,0
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;61,5
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;56,1
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;58,5
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;66,9
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;61,6
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;65,5
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;70,5
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;68,3
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;64,4
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;70,1
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;66,3
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;62,7
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;63,2
