Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;1,8
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;2,5
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;2,9
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;2,9
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;3,2
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;3,0
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;2,7
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;2,8
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;3,0
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;3,2
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;2,2
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;1,8
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;2,3
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;2,3
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;2,1
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;2,7
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;3,5
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;3,2
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;3,3
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;4,6
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;7,6
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;6,9
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;5,7
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;5,2
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;5,3
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;4,3
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;4,4
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;4,6
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;4,4
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;4,2
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;3,3
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;2,5
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;2,5
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;2,9
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;3,1
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;4,8
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;5,4
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;6,0
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;6,0
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;6,8
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;7,0
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;7,1
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;7,3
